Accession,Release_Date,Species,Length,Nuc_Completeness
NC_050152,2020-08-13T00:00:00Z,Escherichia virus P1,101660,complete
NC_050153,2020-08-13T00:00:00Z,Escherichia phage vB_EcoM-Ro157c2YLVW,80732,complete
NC_050154,2020-08-13T00:00:00Z,Escherichia phage D6,91159,complete
NC_050143,2020-08-10T00:00:00Z,Pseudomonas phage datas,60746,complete
NC_050144,2020-08-10T00:00:00Z,Pseudomonas phage Epa14,65797,complete
NC_050145,2020-08-10T00:00:00Z,Pseudomonas phage PaGU11,65554,complete
NC_050146,2020-08-10T00:00:00Z,Pseudomonas phage Epa7,65629,complete
NC_050147,2020-08-10T00:00:00Z,Pseudomonas phage Epa13,65680,complete
NC_050148,2020-08-10T00:00:00Z,Pseudomonas virus Pa193,66657,complete
NC_050149,2020-08-10T00:00:00Z,Pseudomonas phage vB_PaeM_USP_1,65918,complete
NC_050150,2020-08-10T00:00:00Z,Pseudomonas phage antinowhere,65852,complete
NC_050151,2020-08-10T00:00:00Z,Pseudomonas phage crassa,66295,complete
NC_049941,2020-07-29T00:00:00Z,Stx2-converting phage Stx2a_WGPS2,58326,complete
NC_049942,2020-07-29T00:00:00Z,Escherichia phage JLK-2012,57198,complete
NC_049943,2020-07-29T00:00:00Z,Enterobacteria phage 2851,57248,complete
NC_049944,2020-07-29T00:00:00Z,Stx2-converting phage Stx2a_WGPS8,55023,complete
NC_049945,2020-07-29T00:00:00Z,Stx2-converting phage Stx2a_WGPS6,57849,complete
NC_049946,2020-07-29T00:00:00Z,Escherichia virus Lambda_4A7,49168,complete
NC_049947,2020-07-29T00:00:00Z,Escherichia virus Lambda_1H12,46703,complete
NC_049948,2020-07-29T00:00:00Z,Escherichia phage Lambda_ev017,50126,complete
NC_049949,2020-07-29T00:00:00Z,Escherichia phage Lambda_ev207,46685,complete
NC_049950,2020-07-29T00:00:00Z,Escherichia virus Lambda_2H10,46288,complete
NC_049951,2020-07-29T00:00:00Z,Enterobacteria phage O276,41969,complete
NC_049952,2020-07-29T00:00:00Z,Escherichia virus Lambda_2B8,48763,complete
NC_049953,2020-07-29T00:00:00Z,Escherichia phage Lambda_ev099,47224,complete
NC_049954,2020-07-29T00:00:00Z,Escherichia virus Lambda_2G7b,47142,complete
NC_049955,2020-07-29T00:00:00Z,Escherichia phage Lambda_ev243,45560,complete
NC_049959,2020-07-29T00:00:00Z,Bacillus phage QCM11,26054,complete
NC_049960,2020-07-29T00:00:00Z,Bacillus phage Harambe,21684,complete
NC_049961,2020-07-29T00:00:00Z,Bacillus phage BeachBum,21054,complete
NC_049962,2020-07-29T00:00:00Z,Bacillus phage SerPounce,27206,complete
NC_049963,2020-07-29T00:00:00Z,Bacillus phage Juan,25032,complete
NC_049964,2020-07-29T00:00:00Z,Bacillus phage KonjoTrouble,26061,complete
NC_049965,2020-07-29T00:00:00Z,Bacillus phage vB_BveP-Goe6,19105,complete
NC_049966,2020-07-29T00:00:00Z,Bacillus phage vB_BthP-Goe4,25722,complete
NC_049967,2020-07-29T00:00:00Z,Bacillus phage DK1,27180,complete
NC_049968,2020-07-29T00:00:00Z,Bacillus phage DK2,26357,complete
NC_049969,2020-07-29T00:00:00Z,Bacillus phage DK3,26865,complete
NC_049970,2020-07-29T00:00:00Z,Bacillus phage Karezi,20083,complete
NC_049971,2020-07-29T00:00:00Z,Bacillus phage vB_Bpu_PumA1,18466,complete
NC_049972,2020-07-29T00:00:00Z,Bacillus phage vB_Bpu_PumA2,18932,complete
